,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
102,Division,13,4,96,28.39013913,4,16,2.449489743,104,7,49,26,22,14,3,96,64,48,19.68596429,80,45.09090909
103,Division,16,10,52,5.810335619,5,60,11.3137085,198,21,49,21,21,15,2,97,57,48,15.38854302,52,29.04761905
104,Division,18,5,84,29.6,6,24,3.651483717,116,12,53,29,24,18,2,88,72,52,14.27093978,64,46.41666667
105,Division,10,8,86,16.64143924,6,38,4.678556283,189,23,37,27,23,19,1,91,69,36,16.11489935,60,28.69565217
106,Division,10,5,64,12.99846145,4,56,8.602325267,162,13,41,22,22,16,2,99,61,40,15.65221184,56,28.90909091
107,Division,9,5,24,3.487119155,8,100,21.18372016,156,21,37,19,26,16,4,96,64,36,10.58663889,46,29
108,Division,15,8,86,10.85990331,5,26,4.489988864,179,17,49,28,22,16,2,92,66,48,14.3547153,58,36.81818182
109,Division,13,6,16,1.490711985,6,100,28.39405259,129,13,45,23,23,19,1,92,64,44,13.39582081,52,29.82608696
110,Division,13,5,54,8.634813258,4,66,12.03120942,158,12,41,25,19,15,1,100,58,40,12.04515972,52,30.42105263
111,Division,19,5,26,5.455272679,7,74,13.80328266,158,14,61,29,21,15,2,91,65,60,14.23100636,60,25.61904762
112,Division,20,8,32,3.31662479,8,68,16.45448267,152,18,61,22,25,19,2,93,67,60,18.90845314,84,43.52
113,Division,9,3,14,2.494438258,3,106,31.67894499,95,4,41,27,23,19,1,90,68,40,11.46375895,46,27.13043478
114,Division,14,7,60,11.3999642,4,52,7.681145748,146,12,49,29,18,14,1,99,61,48,12.99572579,58,34.66666667
115,Division,8,5,24,2.039607805,2,100,46,105,6,37,26,21,13,3,98,62,36,20.73786288,70,41.80952381
116,Division,5,5,110,23.46060528,3,18,2.828427125,164,6,33,20,19,13,2,96,52,32,9.718474853,34,23.15789474
117,Division,5,5,116,28.41408102,3,12,2.828427125,123,10,33,25,19,15,1,101,59,32,11.03507377,48,28.73684211
118,Division,10,6,42,10.31180553,5,74,15.52288633,142,15,45,26,21,17,1,95,63,44,16.56485912,62,38.28571429
119,Division,12,6,64,14.17352775,7,32,2.55550626,159,15,65,26,17,13,1,95,55,64,14.19391165,64,43.05882353
120,Division,10,4,48,9.486832981,5,80,18.46076921,146,11,33,23,25,19,2,92,68,32,12.72829918,54,27.52
121,Division,17,4,20,3,6,84,16.28905563,132,11,57,29,20,16,1,95,65,56,14.28950664,58,33.9
122,Division,10,6,100,31.04119127,5,24,2.4,129,13,37,20,22,14,3,102,58,36,12.23090517,58,32.63636364
123,Division,13,6,78,12.89702808,7,38,3.958973274,177,20,45,22,27,21,2,88,70,44,14.77067498,58,29.11111111
124,Division,10,7,80,17.68661433,7,32,2.32115383,159,13,49,18,23,15,3,101,57,48,11.80817057,48,32.95652174
125,Division,5,0,0,0,5,120,30.03997337,111,8,41,21,20,14,2,89,55,40,10.36291465,44,28.9
126,Division,15,5,92,25.87353861,4,12,1,116,10,57,28,16,14,0,103,57,56,17.36195554,68,47.25
127,Division,13,6,86,16.82920742,4,22,3.840572874,154,12,53,26,18,16,0,101,59,52,14.54834427,54,34.88888889
