,generation algorithm,straights_num,turn_num,dead_end_num,T_num,cross_num,correct_path_len,turn_num_in_correct_path,border_l,neighbor_sum,L_num,L_size,L_size_std,R_num,R_size,R_size_std
128,Division,97,14,23,19,1,53,21,139,12,4,72,22.3159136,8,36,2.598076211
129,Division,95,8,28,16,5,37,17,131,10,6,56,11.58543146,3,68,17.4610678
130,Division,93,19,23,19,1,57,25,147,16,8,42,7.137051212,6,62,16.86877457
131,Division,97,9,17,13,1,41,33,113,4,2,16,6,4,104,21.40093456
132,Division,95,9,24,20,1,41,21,139,9,4,78,30.31088913,5,42,8.890444308
133,Division,90,6,25,19,2,33,25,161,14,6,58,13.58512258,6,70,7.340905182
134,Division,92,17,24,16,3,57,26,193,32,10,66,11.17318218,7,38,2.969229956
135,Division,99,12,23,15,3,45,21,175,15,8,90,16.36879653,7,26,2.710523709
136,Division,94,10,23,17,2,37,25,162,12,6,70,12.13351648,4,54,10.89724736
137,Division,95,8,27,17,4,41,18,188,25,8,34,3.799671038,9,86,12.13911136
138,Division,96,10,22,12,4,45,27,133,9,4,74,25.15452246,6,42,7.895146188
139,Division,94,10,25,19,2,41,21,148,15,7,66,13.92692298,5,54,10.47664068
140,Division,101,10,25,19,2,49,14,143,11,6,100,23.45681611,5,12,0.8
141,Division,97,7,21,11,4,37,28,85,3,2,8,2,3,116,47.67482448
142,Division,99,13,23,17,2,53,20,155,11,6,40,6.394442031,5,68,12.48358923
143,Division,93,18,21,17,1,61,29,152,13,7,74,14.80209583,5,26,2.712931993
144,Division,104,13,19,13,2,49,23,89,4,2,10,1,4,102,38.40247388
145,Division,104,13,18,12,2,57,25,148,11,6,56,6.289320755,5,48,8.890444308
146,Division,98,14,22,18,1,41,22,173,14,5,42,5.851495535,5,78,16.84755175
147,Division,92,9,24,20,1,37,24,136,14,6,80,22.67646847,4,44,14.45683229
148,Division,98,13,21,17,1,49,24,103,5,5,110,18.76166304,1,2,0
149,Division,92,16,24,16,3,57,26,148,12,9,26,1.369869778,5,78,17.59090674
150,Division,97,8,28,16,5,33,15,135,10,5,42,11.8253964,5,86,18.99894734
151,Division,104,17,19,13,2,53,23,190,18,6,60,7.831560083,8,48,4.242640687
152,Division,95,9,24,16,3,33,23,166,16,6,50,11.51327736,6,78,14.59451952
153,Division,87,16,26,18,3,49,27,118,11,6,98,30.27466855,6,14,0.745355992
154,Division,100,10,18,14,1,41,28,156,15,4,78,26.88401012,6,42,2.768874621
155,Division,103,13,18,14,1,57,25,145,11,6,96,18.40289832,3,8,0.942809042
156,Division,97,15,19,17,0,49,28,128,12,6,22,2.426703296,5,90,30.01333037
157,Division,98,9,22,18,1,37,22,135,13,6,76,20.31966754,4,48,17.32050808
158,Division,95,14,24,18,2,49,22,183,19,7,56,10.74376896,7,56,6.414269806
159,Division,105,14,19,15,1,49,21,139,12,5,88,25.3424545,4,24,4.898979486
160,Division,92,10,28,20,3,41,18,139,18,3,8,0.942809042,9,112,25.34697488
161,Division,94,14,23,17,2,53,25,182,25,11,94,12.0933012,5,14,0.979795897
